epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,18581,1.03695,0.6494,1.02829,0.85718,0.94231,0.95849,0.67237,0.52471,0.26534,0.52012,0.00628101,0.00628101,0.00628101
86,18796.6,1.01839,0.62296,1.01969,0.85528,0.94206,0.9582,0.67207,0.52353,0.26446,0.5198,0.00620555,0.00620555,0.00620555
87,19017.1,1.02691,0.63729,1.02932,0.85587,0.94206,0.95751,0.67091,0.5235,0.2629,0.51977,0.00612981,0.00612981,0.00612981
88,19242.3,1.0276,0.6361,1.03315,0.856,0.93832,0.95722,0.67318,0.52193,0.26193,0.51925,0.0060538,0.0060538,0.0060538
89,19462.5,1.02041,0.62104,1.02113,0.86095,0.9374,0.95751,0.67327,0.52173,0.26111,0.51892,0.00597754,0.00597754,0.00597754
90,19676.7,1.03777,0.62911,1.02963,0.85695,0.94206,0.95747,0.67271,0.52184,0.26032,0.51865,0.00590105,0.00590105,0.00590105
91,19889.9,1.04333,0.62338,1.04407,0.85827,0.94393,0.95744,0.67301,0.52195,0.26049,0.51842,0.00582435,0.00582435,0.00582435
92,20103,1.04404,0.63066,1.03784,0.8584,0.94045,0.95698,0.67253,0.52192,0.26013,0.5186,0.00574746,0.00574746,0.00574746
93,20316.9,1.05659,0.64303,1.04375,0.85978,0.9398,0.95635,0.67162,0.52251,0.26002,0.51908,0.0056704,0.0056704,0.0056704
94,20529.6,1.00066,0.61665,1.02745,0.85919,0.93519,0.95565,0.67053,0.52249,0.26005,0.51883,0.00559318,0.00559318,0.00559318
95,20751.7,1.02828,0.61193,1.03053,0.85584,0.93645,0.9543,0.66841,0.52263,0.2598,0.51896,0.00551584,0.00551584,0.00551584
96,20977.5,1.03059,0.63612,1.02627,0.85776,0.93556,0.95362,0.66752,0.52345,0.25983,0.51915,0.00543837,0.00543837,0.00543837
97,21191.5,1.01502,0.62171,1.02171,0.85789,0.93653,0.95344,0.66764,0.52318,0.25941,0.51915,0.00536081,0.00536081,0.00536081
98,21416.7,1.00827,0.6027,1.00657,0.85788,0.93645,0.95323,0.666,0.52359,0.25983,0.51927,0.00528318,0.00528318,0.00528318
99,21640.2,1.00713,0.62351,1.02392,0.85216,0.93735,0.95212,0.66531,0.52359,0.25973,0.5198,0.00520548,0.00520548,0.00520548
100,21857.3,0.99287,0.59211,1.01987,0.85454,0.93336,0.95216,0.66487,0.52448,0.25987,0.52035,0.00512775,0.00512775,0.00512775
101,22070.7,0.98871,0.59511,1.01558,0.85798,0.93723,0.95485,0.6657,0.52414,0.25931,0.52045,0.00505,0.00505,0.00505
102,22285,1.00618,0.6208,1.01499,0.85619,0.93477,0.95236,0.66597,0.52425,0.25911,0.52082,0.00497225,0.00497225,0.00497225
